artista	danceability	duration	enery	key	liveness	loudness	mode	speechiness	tempo	time_signature	genre
d	c	c	c	d	c	c	d	c	c	d	d	d
Bathory	0.23164	516.26667	0.846941	0	0.084517	-12.93	1	0.068277	122.643	4	metal	
Helloween	0.474698	249.0	0.905752	4	0.099885	-4.995	0	0.037499	79.089	4	metal	
Manowar	0.523839	329.93333	0.919391	0	0.338016	-5.14	1	0.080946	113.989	4	metal	
Dio	0.410417	312.33333	0.6772	9	0.283774	-12.208	0	0.047157	91.524	4	metal	
Entombed	0.360191	284.73333	0.887982	7	0.186275	-8.04	1	0.093907	85.265	4	metal	
Cannibal Corpse	0.215705	259.68	0.987104	1	0.052032	-7.37	0	0.097147	93.803	4	metal	
Nevermore	0.452497	333.90667	0.947246	1	0.087731	-7.049	1	0.097134	119.137	4	metal	
Kreator	0.282224	249.22667	0.932388	11	0.221051	-7.493	0	0.164794	126.384	4	metal	
Motrhead	0.289644	189.46667	0.969977	1	0.074841	-5.557	1	0.075998	132.47	4	metal	
Vio-lence	0.336797	391.66621	0.974218	4	0.250905	-5.376	0	0.116297	99.327	4	metal	
Satan	0.333341	298.84063	0.948972	11	0.244824	-4.802	0	0.118687	157.242	4	metal	
Sepultura	0.358254	299.12	0.95472	2	0.277345	-4.8	1	0.158915	83.126	4	metal	
Iced Earth	0.566789	281.53333	0.93286	3	0.084555	-4.999	0	0.052476	109.018	4	metal	
Bruce Dickinson	0.324197	344.08	0.984528	6	0.884956	-6.993	0	0.179109	116.76	4	metal	
Overkill	0.301714	275.38667	0.805124	6	0.150709	-11.395	0	0.096659	112.766	4	metal	
Zakk Wylde	0.23928	345.56	0.685781	2	0.224081	-4.821	1	0.038272	138.3	4	metal	
Megadeth	0.191154	299.11093	0.989241	10	0.097408	-2.904	0	0.566357	175.017	4	metal	
Dio	0.500513	253.98667	0.868945	9	0.048427	-9.285	0	0.034203	117.578	4	metal	
Dio	0.48705	196.29333	0.985507	7	0.225707	-4.932	1	0.141462	109.519	4	metal	
Megadeth	0.402635	262.03147	0.987795	2	0.266244	-3.841	1	0.452169	155.057	4	metal	
Celtic Frost	0.268608	244.86667	0.755435	11	0.07042	-7.14	0	0.029719	185.314	4	metal	
Iron Maiden	0.311119	275.21333	0.82333	4	0.243334	-5.555	0	0.034765	135.311	4	metal	
