artista	danceability	duration	enery	key	liveness	loudness	mode	speechiness	tempo	time_signature	genre
d	c	c	c	d	c	c	d	c	c	d	d	d
Das EFX	0.835663	210.70667	0.455483	1	0.061455	-12.719	1	0.363422	101.024	4	rap	
The Notorious B.I.G.	0.526346	220.62667	0.83301	1	0.187301	-6.381	0	0.319763	98.95	4	rap	
Onyx	0.753973	200.96	0.597235	10	0.67504	-14.323	0	0.329221	98.411	4	rap	
Dr. Dre	0.676523	195.01333	0.818033	0	0.475544	-1.984	1	0.136081	103.826	4	rap	
EPMD	0.853978	322.4	0.617702	11	0.068167	-4.165	1	0.344729	93.796	4	rap	
Skee-Lo	0.704372	246.69333	0.838313	7	0.368167	-8.044	1	0.144137	97.885	4	rap	
The LOX	0.889626	280.67964	0.574899	5	0.073802	-5.729	1	0.302445	98.935	4	rap	
Main Source	0.896499	221.96	0.47869	11	0.097566	-11.221	1	0.105269	103.6	4	rap	
Mos Def	0.785132	225.45333	0.599384	1	0.330005	-4.991	1	0.187198	90.448	4	rap	
U-God	0.554909	266.37333	0.850315	4	0.176921	-6.504	0	0.599174	86.103	4	rap	
LL Cool J	0.61536	175.58667	0.590864	4	0.095226	-11.755	0	0.42268	84.792	4	rap	
The Notorious B.I.G.	0.526346	220.62667	0.83301	1	0.187301	-6.381	0	0.319763	98.95	4	rap	
Mos Def	0.662335	304.28	0.80263	2	0.097019	-5.552	1	0.136211	121.229	4	rap	
Naughty by Nature	0.838141	264.69333	0.931002	6	0.37349	-3.455	0	0.110594	99.198	4	rap	
Special Ed	0.874419	373.04	0.677897	9	0.145521	-13.325	0	0.074334	123.568	4	rap	
Ultramagnetic MC's	0.915959	204.49333	0.800258	2	0.076298	-6.323	1	0.266301	107.14	4	rap	
Jay-Z	0.683001	339.28	0.532762	2	0.281495	-7.558	0	0.092209	145.079	4	rap	
Positive K	0.904801	200.03206	0.827676	1	0.328295	-6.472	1	0.305039	104.013	4	rap	
EPMD	0.650706	228.90667	0.817289	8	0.177164	-5.671	0	0.340469	202.875	4	rap	
Afroman	0.793411	194.61333	0.364967	7	0.114868	-7.548	1	0.485561	166.008	4	rap	
Onyx	0.82185	198.02667	0.697181	1	0.172249	-9.076	1	0.261211	94.011	4	rap	
The Notorious B.I.G.	0.667014	63.64	0.799974	9	0.909483	-5.514	1	0.331664	91.099	3	rap	
GZA	0.69644	246.22667	0.660417	0	0.288835	-5.181	1	0.300104	91.004	4	rap	
The Coup	0.751767	275.78667	0.853333	5	0.408757	-5.769	1	0.043694	104.585	4	rap	
Run-D.M.C.	0.963608	182.93333	0.924422	11	0.081575	-4.804	0	0.161875	128.126	4	rap	
Main Source	0.581766	250.33333	0.607067	1	0.296412	-16.082	1	0.379678	84.466	4	rap	
Method Man	0.469201	205.56948	0.762824	2	0.552061	-8.735	1	0.337978	76.326	4	rap	
Nas	0.687704	290.53333	0.621075	10	0.165608	-11.664	0	0.131214	87.382	4	rap	
Afu-Ra	0.824449	250.45333	0.899079	7	0.13247	-5.923	1	0.313551	95.727	4	rap	
Outlawz	0.555471	263.12	0.837148	4	0.129262	-3.986	0	0.280289	102.35	5	rap	
Just Ice	0.835867	231.13098	0.848217	6	0.117298	-6.745	0	0.288142	90.084	4	rap	
Eazy-E	0.959713	235.49333	0.728328	7	0.276696	-6.357	1	0.221173	105.643	4	rap	
Smoothe Da Hustler	0.740585	232.59429	0.898118	2	0.09351	-6.044	1	0.309074	83.707	4	rap	
Redman	0.839172	246.86667	0.579715	11	0.1822	-10.19	0	0.35476	90.901	4	rap	
Mobb Deep	0.790136	265.49333	0.728218	2	0.112141	-9.221	1	0.390843	96.978	4	rap	
Flavor Flav	0.744188	206.77052	0.878447	0	0.495047	-3.925	1	0.136877	96.01	4	rap	
Pete Rock & C.L. Smooth	0.825903	283.81333	0.491422	9	0.092884	-11.264	1	0.165397	115.998	4	rap	
Mos Def	0.662335	304.28	0.80263	2	0.097019	-5.552	1	0.136211	121.229	4	rap	
DJ Kool	0.70247	371.46667	0.939223	4	0.706466	-6.408	0	0.262552	92.131	4	rap	
Mic Geronimo	0.595524	253.6	0.480683	1	0.349988	-11.081	1	0.409464	84.724	4	rap	
Diddy	0.752382	247.49333	0.654015	7	0.09994	-6.326	1	0.076766	92.06	4	rap	
LL Cool J	0.728852	323.02667	0.302975	0	0.085059	-19.397	1	0.373114	176.517	4	rap	
Main Source	0.739504	255.2	0.410556	10	0.338214	-10.439	0	0.273545	87.041	4	rap	
AZ	0.619958	233.47955	0.841837	0	0.070515	-6.678	1	0.339216	178.032	4	rap	
Public Enemy	0.780933	302.66667	0.682487	7	0.752236	-13.938	1	0.336216	99.776	4	rap	
Method Man	0.700477	309.72789	0.700442	1	0.32363	-7.666	0	0.079766	95.018	4	rap	
Third Bass	0.826017	219.46667	0.728858	9	0.029911	-12.588	1	0.08638	139.821	4	rap	
Snoop Dogg	0.856372	259.50667	0.576428	9	0.031302	-6.726	0	0.203309	82.053	4	rap	
House of Pain	0.796916	219.66667	0.871096	4	0.147568	-3.478	0	0.048769	106.903	4	rap	
Kris Kross	0.821641	180.18685	0.430288	4	0.095626	-10.995	0	0.24061	85.945	4	rap	
Q-Tip	0.910283	287.38667	0.407791	4	0.110926	-7.703	0	0.061667	95.49	4	rap	
Run-D.M.C.	0.963608	182.93333	0.924422	11	0.081575	-4.804	0	0.161875	128.126	4	rap	
Warren G	0.827761	209.36	0.435233	4	0.694956	-11.043	0	0.288226	93.582	4	rap	
Drag-On	0.70985	223.16	0.853169	1	0.159056	-5.699	0	0.418432	119.718	5	rap	
Nas	0.749704	234.02667	0.535459	5	0.191182	-7.188	1	0.181819	89.218	4	rap	
Flipmode Squad	0.590688	253.46667	0.70838	7	0.333269	-5.167	1	0.360622	86.872	4	rap	
Boogie Down Productions	0.792709	396.65333	0.487444	9	0.111241	-10.994	1	0.416732	189.995	4	rap	
Ugly Duckling	0.757866	198.46667	0.709535	2	0.218267	-7.221	1	0.19371	91.024	4	rap	
Organized Konfusion	0.868454	332.04	0.885269	2	0.304679	-7.512	1	0.147047	103.474	4	rap	
KRS-One	0.789091	252.04	0.979681	1	0.127411	-6.006	1	0.297262	95.025	4	rap	
The Notorious B.I.G.	0.526346	220.62667	0.83301	1	0.187301	-6.381	0	0.319763	98.95	4	rap	
Warren G	0.848735	248.72	0.571228	11	0.11846	-11.212	0	0.21299	95.286	4	rap	
KRS-One	0.802916	289.90667	0.805952	0	0.101328	-7.805	1	0.265269	94.993	4	rap	
LL Cool J	0.728852	323.02667	0.302975	0	0.085059	-19.397	1	0.373114	176.517	4	rap	
AZ	0.619958	233.47955	0.841837	0	0.070515	-6.678	1	0.339216	178.032	4	rap	
MF DOOM	0.871146	221.41333	0.358337	11	0.102694	-10.151	0	0.104303	114.93	4	rap	
Naughty by Nature	0.838141	264.69333	0.931002	6	0.37349	-3.455	0	0.110594	99.198	4	rap	
Slick Rick	0.938179	223.33333	0.480698	5	0.143082	-7.499	0	0.337962	101.076	4	rap	
LL Cool J	0.792866	287.73333	0.785884	10	0.289453	-7.367	0	0.146244	102.382	4	rap	
The Treacherous Three	0.885329	365.5	0.832153	1	0.232453	-8.068	0	0.14107	97.488	4	rap	
Nas	0.687704	290.53333	0.621075	10	0.165608	-11.664	0	0.131214	87.382	4	rap	
Craig Mack	0.865475	264.97333	0.477366	1	0.04972	-9.557	1	0.323948	93.975	4	rap	
Big L	0.619119	565.14667	0.58577	11	0.135595	-10.577	0	0.676527	180.953	4	rap	
EPMD	0.823757	241.29333	0.752087	7	0.115336	-9.442	1	0.226508	105.796	4	rap	
Poor Righteous Teachers	0.905815	311.00005	0.672806	7	0.05484	-12.804	1	0.219129	95.684	4	rap	
Jay-Z	0.683001	339.28	0.532762	2	0.281495	-7.558	0	0.092209	145.079	4	rap	
Rakim	0.903003	251.4	0.505012	1	0.131535	-11.11	1	0.28916	85.833	4	rap	
Arrested Development	0.821655	272.70667	0.660781	1	0.314997	-10.234	0	0.164152	99.883	4	rap	
Slick Rick	0.932833	248.16	0.61054	9	0.070299	-12.655	1	0.207878	106.874	4	rap	
Fat Joe	0.834932	267.09333	0.707477	8	0.107895	-5.074	1	0.059812	93.955	4	rap	
Pete Rock & C.L. Smooth	0.757749	279.53333	0.766377	11	0.379613	-7.932	1	0.185042	101.786	4	rap	
Public Enemy	0.78785	222.66667	0.880203	6	0.069546	-8.456	0	0.203033	109.263	4	rap	
Method Man	0.700477	309.72789	0.700442	1	0.32363	-7.666	0	0.079766	95.018	4	rap	
LL Cool J	0.810361	228.70748	0.572336	7	0.285815	-9.646	1	0.163361	99.946	4	rap	
J-Live	0.693391	231.92	0.68459	9	0.252168	-4.8	1	0.102475	97.331	3	rap	
Dr. Dre	0.615046	283.73333	0.938177	7	0.428095	-4.418	0	0.448946	78.183	4	rap	
The Notorious B.I.G.	0.846831	320.6	0.624966	7	0.63245	-7.198	1	0.143131	91.68	4	rap	
N.W.A	0.895367	336.64	0.847515	6	0.334986	-2.611	0	0.266762	98.097	4	rap	
Dr. Octagon	0.59858	75.53333	0.398464	2	0.824774	-13.585	0	0.289965	85.284	4	rap	
Raekwon	0.607818	205.12	0.782626	0	0.533104	-5.608	1	0.300058	90.728	4	rap	
Slick Rick	0.671694	238.74757	0.534958	1	0.374224	-8.229	1	0.186318	102.18	4	rap	
The Notorious B.I.G.	0.526346	220.62667	0.83301	1	0.187301	-6.381	0	0.319763	98.95	4	rap	
Grand Puba	0.659362	236.46667	0.52793	11	0.29619	-12.09	1	0.674646	182.012	4	rap	
Nas	0.504267	294.0	0.915845	6	0.171735	-3.855	1	0.297416	85.764	4	rap	
Pete Rock	0.610707	201.85329	0.807763	7	0.506566	-5.974	1	0.126568	89.472	4	rap	
Mic Geronimo	0.657096	257.57333	0.53211	8	0.083917	-10.503	0	0.053363	170.222	4	rap	
MC Ren	0.794508	250.49687	0.763245	11	0.055624	-4.085	0	0.333027	90.931	4	rap	
Eazy-E	0.775385	339.49333	0.289013	1	0.370044	-14.261	1	0.293594	87.461	4	rap	
Reflection Eternal	0.629469	227.37333	0.786907	7	0.356598	-5.623	1	0.376197	85.698	4	rap	
Chuck D	0.648965	283.70667	0.890619	5	0.346823	-5.803	0	0.445282	102.14	4	rap	
Nas	0.517045	232.82667	0.877496	6	0.391773	-7.609	1	0.418321	170.105	4	rap	
Ca$his	0.770184	257.88	0.659442	2	0.111191	-2.251	1	0.090985	95.377	4	rap	
Method Man	0.469201	205.56948	0.762824	2	0.552061	-8.735	1	0.337978	76.326	4	rap	
Digital Underground	0.840586	221.63265	0.694091	9	0.240618	-9.32	0	0.124203	113.12	4	rap	
Method Man	0.469201	205.56948	0.762824	2	0.552061	-8.735	1	0.337978	76.326	4	rap	
DMX	0.741098	268.86667	0.920549	3	0.232279	-3.326	0	0.247598	100.823	4	rap	
N.W.A	0.856134	314.30531	0.832471	11	0.262615	-5.308	1	0.325794	98.612	4	rap	
Knoc-Turn'Al	0.629848	212.76	0.691253	11	0.061988	-7.341	0	0.103816	85.081	4	rap	
Hi-Tek	0.619268	247.37333	0.629578	8	0.658796	-8.255	0	0.336186	86.144	4	rap	
Mos Def	0.662335	304.28	0.80263	2	0.097019	-5.552	1	0.136211	121.229	4	rap	
Big L	0.904171	148.0	0.522632	1	0.287986	-10.071	1	0.299794	91.473	4	rap	
D.O.C.	0.853527	216.4	0.787287	7	0.232872	-8.44	1	0.252343	94.719	4	rap	
Fabolous	0.605164	253.57333	0.613579	11	0.208737	-6.745	1	0.096687	86.491	4	rap	
Rah Digga	0.622054	208.4	0.814527	6	0.117549	-6.501	1	0.306663	94.408	4	rap	
Goodie Mob	0.855536	244.06667	0.472145	11	0.104497	-9.044	0	0.415963	153.361	4	rap	
Organized Konfusion	0.849165	222.88	0.680972	1	0.414401	-8.341	1	0.328805	100.349	4	rap	
FU-Schnickens	0.733945	309.17333	0.851344	11	0.354491	-7.512	0	0.117247	96.954	4	rap	
Method Man	0.469201	205.56948	0.762824	2	0.552061	-8.735	1	0.337978	76.326	4	rap	
G. Dep	0.461039	223.32	0.946036	9	0.251019	-4.493	1	0.531992	121.559	3	rap	
Dr. Dre	0.780907	265.69333	0.729533	4	0.416345	-6.308	0	0.281213	94.713	4	rap	
Method Man	0.80129	234.10667	0.682953	1	0.103591	-9.149	0	0.293157	86.941	4	rap	
Organized Konfusion	0.470946	238.04	0.931846	11	0.113066	-7.448	1	0.822114	178.227	4	rap	
Ice Cube	0.853951	222.56	0.769692	1	0.313357	-4.43	1	0.168146	101.017	4	rap	
Chill Rob G	0.902869	222.02667	0.752384	6	0.039231	-14.546	1	0.049815	103.158	4	rap	
Eric B. & Rakim	0.851358	235.93333	0.421895	11	0.08052	-17.232	0	0.326432	104.109	4	rap	
Outlawz	0.763181	310.86667	0.705206	1	0.092039	-5.06	1	0.395918	80.028	4	rap	
De La Soul	0.929025	220.53333	0.914568	5	0.069231	-7.238	1	0.099134	114.593	4	rap	
Eazy-E	0.80478	258.42667	0.70036	1	0.23229	-3.853	1	0.325488	90.888	4	rap	
Big Daddy Kane	0.841962	330.53333	0.68553	6	0.0526	-11.672	0	0.137717	113.12	4	rap	
The Beatnuts	0.782387	173.30667	0.58421	2	0.059365	-8.118	1	0.283846	100.489	4	rap	
Pharoahe Monch	0.616209	229.81333	0.738513	1	0.716057	-7.523	1	0.211137	148.554	4	rap	
Naughty by Nature	0.879234	183.66694	0.87379	1	0.104466	-11.428	0	0.257732	103.454	4	rap	
Kool G. Rap	0.53905	243.24	0.894915	2	0.245857	-4.673	1	0.386356	176.88	4	rap	
EPMD	0.650706	228.90667	0.817289	8	0.177164	-5.671	0	0.340469	202.875	4	rap	
Ol' Dirty Bastard	0.618367	237.6	0.84064	5	0.225609	-6.783	0	0.264379	147.972	4	rap	
Wu-Tang Clan	0.911836	258.33333	0.413508	8	0.099551	-8.994	0	0.348204	91.535	4	rap	
Public Enemy	0.805908	283.26667	0.778954	2	0.421293	-6.536	1	0.240585	105.951	4	rap	
Sauce Money	0.938915	241.76	0.508887	11	0.094553	-8.082	0	0.261323	100.266	4	rap	
The Notorious B.I.G.	0.852958	251.0	0.934765	6	0.3073	-9.635	0	0.045999	104.5	4	rap	
KRS-One	0.836716	284.0	0.731557	10	0.061351	-6.03	0	0.263027	90.409	4	rap	
Wu-Tang Clan	0.784639	256.17333	0.733052	7	0.271621	-8.67	1	0.251023	120.938	4	rap	
RZA	0.756569	257.26667	0.541036	1	0.125125	-5.083	0	0.070771	171.987	4	rap	
Beastie Boys	0.728527	210.12	0.878348	2	0.063757	-6.484	1	0.254067	105.991	4	rap	
Das EFX	0.865835	221.09333	0.534462	5	0.084773	-10.407	1	0.320503	98.852	4	rap	
Das EFX	0.734842	243.84	0.520705	1	0.189892	-14.888	1	0.350991	97.045	4	rap	
Method Man	0.80129	234.10667	0.682953	1	0.103591	-9.149	0	0.293157	86.941	4	rap	
dead prez	0.700209	227.24	0.717819	4	0.353072	-7.763	1	0.374609	77.087	4	rap	
LL Cool J	0.572996	244.56	0.818728	1	0.352101	-5.998	0	0.289016	202.278	4	rap	
MC Lyte	0.873286	180.06667	0.901813	10	0.3194	-5.979	0	0.32733	91.313	4	rap	
Terminator X	0.521706	271.6	0.669136	11	0.154799	-11.527	0	0.456909	200.916	4	rap	
Jay-Z	0.858725	277.22667	0.868462	11	0.045131	-4.267	0	0.145778	138.041	4	rap	
Big L	0.619119	565.14667	0.58577	11	0.135595	-10.577	0	0.676527	180.953	4	rap	
A Tribe Called Quest	0.878793	219.17333	0.49025	11	0.11372	-8.874	1	0.267601	98.234	4	rap	
Wu-Tang Clan	0.904048	350.64	0.428399	11	0.332358	-13.782	0	0.269565	101.553	4	rap	
Q-Tip	0.881251	243.86667	0.829899	7	0.062588	-4.563	1	0.171962	98.793	4	rap	
Big L	0.619119	565.14667	0.58577	11	0.135595	-10.577	0	0.676527	180.953	4	rap	
Public Enemy	0.458187	249.52163	0.851871	11	0.054723	-4.442	0	0.275814	104.021	4	rap	
The Coup	0.839566	192.77333	0.876194	0	0.130442	-3.314	1	0.166724	137.979	4	rap	
Busta Rhymes	0.513478	355.66667	0.827327	1	0.180992	-3.958	0	0.308728	115.029	5	rap	
Ghostface Killah	0.461853	211.86667	0.953095	10	0.872356	-2.749	0	0.427088	170.05	4	rap	
Big L	0.71192	217.62667	0.618606	11	0.131097	-10.174	0	0.217947	179.786	4	rap	
Raekwon	0.607818	205.12	0.782626	0	0.533104	-5.608	1	0.300058	90.728	4	rap	
Ugly Duckling	0.696228	236.89333	0.900868	10	0.36164	-3.479	0	0.201288	101.993	4	rap	
Busta Rhymes	0.915841	195.13333	0.630427	6	0.065618	-6.816	0	0.289753	99.493	4	rap	
Hood Surgeon	0.746243	109.26975	0.492764	1	0.088342	-6.29	1	0.062406	89.02	4	rap	
The Notorious B.I.G.	0.859057	227.29333	0.693255	9	0.294103	-4.326	1	0.286033	94.995	4	rap	
De La Soul	0.781571	214.01288	0.627358	0	0.16734	-7.946	1	0.339061	92.338	4	rap	
Eric B. & Rakim	0.747882	227.33333	0.71615	7	0.080361	-8.01	1	0.282372	90.978	4	rap	
Raekwon	0.448451	167.49333	0.923032	5	0.187505	-4.77	0	0.297692	94.749	4	rap	
De La Soul	0.929025	220.53333	0.914568	5	0.069231	-7.238	1	0.099134	114.593	4	rap	
Method Man	0.80129	234.10667	0.682953	1	0.103591	-9.149	0	0.293157	86.941	4	rap	
Beastie Boys	0.419445	178.37333	0.946181	6	0.106778	-4.194	0	0.082618	167.64	4	rap	
Reflection Eternal	0.816506	279.41333	0.722399	8	0.108646	-3.74	0	0.40719	139.027	4	rap	
Naughty by Nature	0.811043	316.76	0.696683	10	0.096494	-7.409	0	0.275404	89.88	4	rap	
Run-D.M.C.	0.792771	303.18667	0.799841	10	0.339208	-8.092	0	0.182823	96.014	4	rap	
Sticky Fingaz	0.864935	164.30399	0.492307	11	0.054175	-12.977	0	0.324762	93.966	4	rap	
Big Daddy Kane	0.685966	305.01333	0.398097	8	0.057285	-13.361	0	0.143372	80.228	4	rap	
Nas	0.759077	252.56	0.692747	11	0.127605	-9.036	1	0.305119	92.771	4	rap	
Ja Rule	0.878587	257.53333	0.759468	1	0.033788	-4.075	1	0.298049	106.035	4	rap	
3rd Bass	0.802804	217.24	0.760799	4	0.103348	-14.057	0	0.209302	112.942	4	rap	
Sticky Fingaz	0.745122	282.28	0.74447	9	0.676182	-5.397	1	0.442187	90.603	4	rap	
Drag-On	0.70985	223.16	0.853169	1	0.159056	-5.699	0	0.418432	119.718	5	rap	
Jurassic 5	0.920678	245.49333	0.571786	4	0.369355	-6.565	0	0.308102	92.082	4	rap	
Styles P	0.789726	211.88762	0.917097	9	0.105721	-3.377	1	0.316273	90.096	4	rap	
Canibus	0.73988	277.53333	0.537128	7	0.563954	-11.337	1	0.456521	94.025	4	rap	
Jay-Z	0.788669	310.16	0.764018	8	0.225749	-6.824	0	0.26074	177.08	4	rap	
Eric B. & Rakim	0.89193	377.8	0.63455	1	0.257545	-9.063	1	0.403184	96.541	4	rap	
Masta Ace Incorporated	0.798345	256.12	0.690816	6	0.055299	-7.854	0	0.204515	92.049	4	rap	
Erick Sermon	0.635288	227.3859	0.862083	11	0.21251	-2.722	0	0.3257	96.09	4	rap	
EPMD	0.650706	228.90667	0.817289	8	0.177164	-5.671	0	0.340469	202.875	4	rap	
GZA	0.773048	331.0	0.79387	2	0.38449	-5.486	1	0.215217	90.848	4	rap	
Chino XL	0.788532	259.70667	0.81078	7	0.363734	-3.491	1	0.271876	90.618	4	rap	
Wu-Tang Clan	0.677794	312.13333	0.517909	11	0.149097	-9.353	1	0.342661	94.83	4	rap	
Guerilla Black	0.919127	274.5063	0.671627	1	0.119727	-4.58	1	0.228289	90.481	4	rap	
Rah Digga	0.768488	229.33333	0.810414	6	0.074087	-7.109	0	0.41352	91.148	4	rap	
Cypress Hill	0.605505	247.70667	0.473702	11	0.117541	-14.748	0	0.643081	178.354	4	rap	
Dream Warriors	0.91971	225.10667	0.455633	5	0.094517	-14.525	1	0.179743	117.838	4	rap	
Nas	0.783142	268.66667	0.608277	0	0.102011	-5.742	0	0.361355	91.672	4	rap	
Ice Cube	0.796265	260.30667	0.775913	5	0.230027	-4.709	0	0.134762	82.395	4	rap	
Jeru the Damaja	0.855748	226.8	0.76995	7	0.04802	-8.742	1	0.303735	91.496	4	rap	
Public Enemy	0.458187	249.52163	0.851871	11	0.054723	-4.442	0	0.275814	104.021	4	rap	
Onyx	0.693862	289.01043	0.942941	6	0.07965	-2.083	1	0.255396	90.019	4	rap	
Ras Kass	0.738749	348.53333	0.42774	4	0.81798	-11.557	0	0.51862	92.296	4	rap	
Drag-On	0.827397	267.33333	0.664228	1	0.037887	-7.278	0	0.218347	86.54	4	rap	
Wu-Tang Clan	0.666853	295.2	0.550303	11	0.677257	-9.631	1	0.288449	91.071	4	rap	
MF DOOM	0.551975	261.70667	0.844495	5	0.07975	-3.667	1	0.034868	95.918	4	rap	
Nas	0.504267	294.0	0.915845	6	0.171735	-3.855	1	0.297416	85.764	4	rap	
Biz Markie	0.853627	364.93333	0.612107	1	0.38027	-7.406	1	0.269319	93.448	4	rap	
Nas	0.517045	232.82667	0.877496	6	0.391773	-7.609	1	0.418321	170.105	4	rap	
Knoc-Turn'Al	0.770566	252.35696	0.58077	5	0.055952	-10.424	0	0.065097	86.052	3	rap	
Young Black Teenagers	0.809891	206.22667	0.588057	11	0.166637	-10.883	0	0.322625	98.958	4	rap	
Eazy-E	0.735443	332.62667	0.796825	11	0.619777	-4.611	0	0.284661	170.444	4	rap	
Kool Moe Dee	0.808832	278.39773	0.988771	2	0.062672	-6.246	1	0.086091	126.037	4	rap	
Junior M.A.F.I.A.	0.645098	334.69333	0.550714	6	0.194831	-9.722	0	0.114353	150.269	4	rap	
Naughty by Nature	0.879234	183.66694	0.87379	1	0.104466	-11.428	0	0.257732	103.454	4	rap	
Nas	0.648707	229.52	0.788463	8	0.146118	-6.268	1	0.312692	88.39	4	rap	
Ludacris	0.914267	275.90667	0.812746	9	0.124069	-3.607	1	0.163494	140.089	4	rap	
Papoose	0.371641	249.86431	0.952697	5	0.133188	-3.616	0	0.424943	78.001	4	rap	
The Beatnuts	0.763066	204.62667	0.788424	11	0.044566	-4.496	0	0.319566	179.844	4	rap	
Mos Def	0.752764	246.44	0.748802	1	0.084544	-6.132	0	0.316293	93.79	4	rap	
Ras Kass	0.66836	267.98667	0.7295	1	0.108174	-7.383	1	0.240268	78.035	4	rap	
Naughty by Nature	0.838141	264.69333	0.931002	6	0.37349	-3.455	0	0.110594	99.198	4	rap	
C.L. Smooth	0.427521	203.46667	0.783922	4	0.054025	-7.344	1	0.309787	175.531	4	rap	
Main Source	0.789905	275.10667	0.667325	7	0.366356	-13.16	1	0.325558	102.034	4	rap	
Doug E. Fresh	0.857415	394.22839	0.981402	1	0.353572	-4.671	1	0.166171	100.874	4	rap	
Gang Starr	0.818512	216.4	0.67964	0	0.25463	-8.431	1	0.278059	95.758	4	rap	
Ice-T	0.840949	223.37333	0.802828	8	0.326146	-11.528	1	0.437614	112.945	4	rap	
A Tribe Called Quest	0.878793	219.17333	0.49025	11	0.11372	-8.874	1	0.267601	98.234	4	rap	
Wu-Tang Clan	0.911836	258.33333	0.413508	8	0.099551	-8.994	0	0.348204	91.535	4	rap	
Ol' Dirty Bastard	0.742678	160.66639	0.466751	0	0.071583	-5.429	1	0.063124	96.238	4	rap	
Method Man	0.700477	309.72789	0.700442	1	0.32363	-7.666	0	0.079766	95.018	4	rap	
Ice-T	0.939592	335.13333	0.607417	6	0.256901	-9.342	0	0.10572	108.119	4	rap	
Marley Marl	0.897451	268.16	0.79856	6	0.11503	-6.952	1	0.283295	96.164	4	rap	
EPMD	0.716077	286.44	0.845005	11	0.096858	-6.58	0	0.200862	96.342	4	rap	
Afrika Bambaataa & The Soul Sonic Force	0.632486	243.58667	0.87977	7	0.452573	-7.819	1	0.048045	136.036	4	rap	
Masta Ace Incorporated	0.635751	337.16	0.544605	11	0.124375	-11.854	1	0.399416	90.469	4	rap	
Erick Sermon	0.606034	296.40603	0.707715	1	0.070178	-4.014	1	0.32502	170.04	4	rap	
Wu-Tang Clan	0.483067	246.73333	0.617608	11	0.355174	-7.345	0	0.378344	180.585	4	rap	
Method Man	0.814665	215.97333	0.561128	9	0.276875	-9.571	0	0.369947	98.149	4	rap	
Jeru the Damaja	0.619039	234.73333	0.934806	6	0.083313	-9.497	1	0.236241	96.389	4	rap	
Busta Rhymes	0.801507	277.66667	0.676864	10	0.170125	-8.23	0	0.159886	89.103	4	rap	
KRS-One	0.802916	289.90667	0.805952	0	0.101328	-7.805	1	0.265269	94.993	4	rap	
Poor Righteous Teachers	0.905815	311.00005	0.672806	7	0.05484	-12.804	1	0.219129	95.684	4	rap	
A Tribe Called Quest	0.878793	219.17333	0.49025	11	0.11372	-8.874	1	0.267601	98.234	4	rap	
Q-Tip	0.918037	191.90667	0.696425	9	0.060772	-8.336	1	0.043935	99.005	4	rap	
Common	0.575605	381.53333	0.913099	1	0.826672	-6.099	1	0.354754	91.033	4	rap	
N.W.A	0.790882	242.46667	0.965818	8	0.498829	-4.798	1	0.204817	102.114	4	rap	
Kid 'n Play	0.845762	284.04	0.57703	1	0.215365	-16.938	1	0.155164	104.961	4	rap	
Mobb Deep	0.790136	265.49333	0.728218	2	0.112141	-9.221	1	0.390843	96.978	4	rap	
Gang Starr	0.807528	221.02667	0.725669	10	0.129285	-8.435	0	0.251851	96.12	4	rap	
Diddy	0.609213	296.26667	0.731005	9	0.663554	-6.846	1	0.340898	91.778	4	rap	
Ludacris	0.914267	275.90667	0.812746	9	0.124069	-3.607	1	0.163494	140.089	4	rap	
Gang Starr	0.776591	199.05261	0.315344	7	0.296211	-15.677	1	0.473295	99.657	4	rap	
The Notorious B.I.G.	0.846831	320.6	0.624966	7	0.63245	-7.198	1	0.143131	91.68	4	rap	
Nas	0.759077	252.56	0.692747	11	0.127605	-9.036	1	0.305119	92.771	4	rap	
Tim Dog	0.83544	127.10667	0.787385	1	0.233219	-8.542	0	0.133714	103.597	4	rap	
LL Cool J	0.798505	293.78667	0.588488	10	0.113155	-8.503	0	0.19774	95.023	4	rap	
Def Jef	0.514656	188.0	0.985216	11	0.888108	-3.383	0	0.394365	123.268	4	rap	
Nas	0.687704	290.53333	0.621075	10	0.165608	-11.664	0	0.131214	87.382	4	rap	
Da Lench Mob	0.807103	210.82667	0.860417	9	0.038131	-7.233	1	0.083517	105.002	4	rap	
Kool G. Rap	0.669187	242.57333	0.805541	4	0.292206	-6.836	0	0.308364	82.44	4	rap	
Craig Mack	0.865475	264.97333	0.477366	1	0.04972	-9.557	1	0.323948	93.975	4	rap	
Cypress Hill	0.820138	243.2	0.634748	0	0.228082	-11.131	1	0.306342	98.027	4	rap	
Bravehearts	0.800116	240.10667	0.3949	8	0.075368	-9.197	1	0.343741	91.053	4	rap	
Naughty by Nature	0.811043	316.76	0.696683	10	0.096494	-7.409	0	0.275404	89.88	4	rap	
Mos Def	0.662335	304.28	0.80263	2	0.097019	-5.552	1	0.136211	121.229	4	rap	
Pete Rock	0.900979	294.53333	0.599577	8	0.207022	-8.931	1	0.103833	88.579	4	rap	
Aceyalone	0.703066	322.54667	0.751637	0	0.086914	-5.578	0	0.144426	102.895	4	rap	
DJ Jazzy Jeff	0.78906	369.26667	0.603585	10	0.087217	-7.007	0	0.035171	126.017	4	rap	
LL Cool J	0.572996	244.56	0.818728	1	0.352101	-5.998	0	0.289016	202.278	4	rap	
The Game	0.755083	220.07873	0.904054	6	0.264381	-3.378	0	0.258529	127.027	4	rap	
Rakim	0.779133	250.90667	0.795262	6	0.092118	-7.51	0	0.265622	93.942	4	rap	
